UniqueName;Parent;Kind;Path;Line;Col;EndLine;EndCol;WarningID
SpaghettiCode:Program~Cl;SpaghettiCode~Ns;Class;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;11;5;412;5;ECS1005
SpaghettiCode:Program~Cl;SpaghettiCode~Ns;Class;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;11;5;412;5;ECS2018-1
SpaghettiCode:Program~Cl;SpaghettiCode~Ns;Class;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;11;5;412;5;ECS2018-2
SpaghettiCode:Program~Cl;SpaghettiCode~Ns;Class;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;11;5;412;5;ECS3025
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;36;21;46;21;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;77;25;84;25;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;88;21;98;21;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;138;29;145;29;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;150;21;160;21;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;181;25;188;25;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;192;21;202;21;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;231;21;238;21;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;242;17;252;17;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;260;29;267;29;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;271;25;281;25;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;312;33;319;33;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;323;29;333;29;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;365;45;372;45;ECS1011
SpaghettiCode:Program.Main@System:Void~St@(System:String~Cl[])~Fm;SpaghettiCode:Program~Cl;Method;D:\Projects\SpaghettiCode\SpaghettiCode\Program.cs;376;41;386;41;ECS1011
